,pandemic,covid,covid-19,coronavirus,cases,cdc,fauci,recession,crisis,deaths,restrictions,lockdown,vaccine,vaccines,travel,stimulus,variant,pfizer
2017-01-01,100,0,0,0,83,16,0,21,42,100,58,28,36,22,59,12,42,12
2017-01-02,49,0,0,18,89,31,0,55,64,60,48,44,44,25,65,21,32,27
2017-01-03,50,0,0,34,93,45,0,41,59,55,51,46,62,42,73,19,50,43
2017-01-04,56,0,0,17,94,63,0,58,54,53,47,51,70,54,71,32,25,74
2017-01-05,36,0,0,17,89,56,50,34,70,43,70,52,85,55,72,42,59,56
2017-01-06,54,0,0,17,84,52,0,77,64,48,58,63,58,40,64,30,40,77
2017-01-07,38,0,0,20,82,26,0,71,54,47,57,37,49,37,65,11,29,32
2017-01-08,56,0,0,0,90,33,57,23,44,49,64,44,47,35,69,29,45,29
2017-01-09,41,0,0,66,82,52,0,66,64,45,68,77,64,52,67,53,48,61
2017-01-10,57,0,0,33,87,72,0,63,85,35,85,42,100,59,68,62,100,54
2017-01-11,32,0,0,0,86,51,49,63,81,44,62,60,90,100,65,60,62,89
2017-01-12,48,0,0,100,89,65,49,63,83,35,68,80,89,84,66,41,63,59
2017-01-13,65,0,0,34,73,55,100,61,65,43,54,64,77,73,69,61,79,50
2017-01-14,53,0,0,39,86,30,0,35,54,39,50,100,44,31,66,15,23,32
2017-01-15,48,0,0,19,88,29,0,46,53,39,69,67,47,44,63,18,56,23
2017-01-16,40,100,0,17,93,38,0,83,59,41,66,48,70,54,67,26,15,51
2017-01-17,44,95,0,49,87,63,0,53,73,43,74,57,88,52,76,59,52,88
2017-01-18,57,0,0,82,95,57,0,70,94,39,83,64,75,66,68,69,43,59
2017-01-19,57,0,0,65,91,61,48,79,82,45,75,52,80,55,70,49,85,70
2017-01-20,35,0,0,33,80,60,48,66,76,41,74,66,68,33,59,74,71,51
2017-01-21,30,0,0,0,80,27,0,54,47,34,51,96,52,54,62,44,67,26
2017-01-22,50,0,0,19,83,28,0,49,57,46,56,75,55,31,69,18,49,25
2017-01-23,61,92,0,16,100,66,0,72,79,41,57,67,84,56,68,60,77,63
2017-01-24,47,0,0,49,87,100,48,81,86,44,65,91,76,57,65,40,94,63
2017-01-25,13,0,0,50,88,78,49,100,86,56,79,82,88,50,66,75,58,52
2017-01-26,56,94,0,65,98,77,0,81,85,45,78,54,92,63,64,67,66,53
2017-01-27,52,0,0,17,83,68,50,71,79,48,72,86,71,74,61,45,88,56
2017-01-28,38,0,0,20,92,44,0,59,67,70,56,95,68,46,65,30,45,29
2017-01-29,60,0,0,19,98,39,0,47,82,56,80,29,52,43,90,55,45,49
2017-01-30,55,0,0,48,88,63,0,80,96,53,84,77,68,47,100,81,74,59
2017-01-31,49,0,0,16,93,77,0,87,100,53,100,99,77,50,94,100,74,100
2017-02-01,40,0,0,82,94,90,27,89,94,74,82,88,77,67,91,34,66,94
2017-02-02,57,0,0,50,82,95,0,72,96,69,99,100,77,62,84,40,91,93
2017-02-03,59,0,0,17,81,89,0,52,81,81,81,45,72,68,79,30,60,100
2017-02-04,55,0,0,41,95,53,34,35,68,84,88,38,61,54,100,25,47,59
2017-02-05,72,0,0,79,98,42,33,37,61,73,73,20,38,36,88,28,74,25
2017-02-06,63,0,0,49,81,72,27,70,76,69,98,32,66,42,78,47,47,67
2017-02-07,56,0,0,99,89,78,0,59,83,66,67,41,85,56,89,30,71,68
2017-02-08,98,0,0,84,85,95,0,70,80,71,91,39,77,74,97,56,97,85
2017-02-09,74,0,0,34,92,74,0,73,79,77,95,32,80,66,96,49,58,79
2017-02-10,55,0,0,70,86,79,29,55,93,62,86,40,71,76,94,33,45,84
2017-02-11,39,0,0,41,78,46,100,27,59,64,84,38,64,37,73,22,47,33
2017-02-12,70,0,0,61,88,40,0,31,59,82,94,23,49,62,77,20,88,51
2017-02-13,79,0,0,49,81,77,53,67,79,75,91,32,71,81,79,52,47,85
2017-02-14,83,0,0,68,85,82,28,73,91,68,85,29,72,62,74,51,49,86
2017-02-15,71,0,0,86,85,100,0,93,85,72,80,44,73,80,77,67,99,65
2017-02-16,49,0,0,33,87,85,0,88,86,72,89,29,83,82,74,47,91,75
2017-02-17,53,0,0,67,76,97,0,85,79,61,79,37,74,72,71,35,77,78
2017-02-18,73,0,0,40,81,48,0,34,52,61,86,36,58,49,70,24,75,43
2017-02-19,100,0,0,21,94,40,0,46,70,76,76,26,60,60,74,29,41,26
2017-02-20,60,0,0,70,85,66,0,76,79,73,91,29,77,38,79,58,65,50
2017-02-21,69,100,0,50,87,87,27,87,100,75,87,46,83,75,80,100,76,81
2017-02-22,93,0,0,33,87,77,27,90,97,90,82,31,89,100,86,76,100,62
2017-02-23,73,0,0,100,85,89,27,100,77,67,87,29,100,66,86,82,91,81
2017-02-24,58,0,0,34,97,81,0,74,79,75,100,20,90,80,74,55,64,95
2017-02-25,35,0,0,20,97,42,0,72,47,46,74,53,55,37,74,31,47,40
