Date,pandemic,covid,covid-19,coronavirus,cases,cdc,fauci,recession,crisis,deaths,restrictions,lockdown,vaccine,vaccines,travel,stimulus,variant,pfizer
2017-01-01,1.0,0.0,0.0,0.0,4.15,0.32,0.0,0.84,10.92,9.0,2.9000000000000004,0.28,1.44,2.2,22.42,0.0,4.62,0.24
2017-01-02,0.49,0.0,0.0,0.0,4.45,0.62,0.0,2.2,16.64,5.3999999999999995,2.4000000000000004,0.44,1.76,2.5,24.7,0.0,3.52,0.54
2017-01-03,0.5,0.0,0.0,0.0,4.65,0.9,0.0,1.6400000000000001,15.34,4.95,2.5500000000000003,0.46,2.48,4.2,27.740000000000002,0.0,5.5,0.86
2017-01-04,0.56,0.0,0.0,0.0,4.7,1.26,0.0,2.32,14.040000000000001,4.77,2.35,0.51,2.8000000000000003,5.4,26.98,0.0,2.75,1.48
2017-01-05,0.36,0.0,0.0,0.0,4.45,1.12,0.0,1.36,18.2,3.8699999999999997,3.5,0.52,3.4,5.5,27.36,0.0,6.49,1.12
2017-01-06,0.54,0.0,0.0,0.0,4.2,1.04,0.0,3.08,16.64,4.32,2.9000000000000004,0.63,2.32,4.0,24.32,0.0,4.4,1.54
2017-01-07,0.38,0.0,0.0,0.0,4.1000000000000005,0.52,0.0,2.84,14.040000000000001,4.2299999999999995,2.85,0.37,1.96,3.7,24.7,0.0,3.19,0.64
2017-01-08,0.56,0.0,0.0,0.0,4.5,0.99,0.0,1.38,14.08,2.94,3.2,0.44,2.35,7.0,26.91,0.0,4.95,0.87
2017-01-09,0.41000000000000003,0.0,0.0,0.0,4.1000000000000005,1.56,0.0,3.96,20.48,2.6999999999999997,3.4000000000000004,0.77,3.2,10.4,26.130000000000003,0.0,5.28,1.8299999999999998
2017-01-10,0.5700000000000001,0.0,0.0,0.0,4.3500000000000005,2.16,0.0,3.78,27.2,2.1,4.25,0.42,5.0,11.8,26.52,0.0,11.0,1.6199999999999999
2017-01-11,0.32,0.0,0.0,0.0,4.3,1.53,0.0,3.78,25.92,2.6399999999999997,3.1,0.6,4.5,20.0,25.35,0.0,6.82,2.67
